iter	Passed	Remaining
0	148	148255
1	149	74460
2	149	49839
3	150	37494
4	151	30079
5	151	25129
6	152	21599
7	152	18952
8	153	16892
9	154	15330
10	155	13978
11	156	12853
12	156	11904
13	157	11092
14	158	10389
15	158	9777
16	159	9233
17	160	8746
18	160	8311
19	161	7928
20	162	7572
21	163	7247
22	163	6948
23	164	6676
24	164	6428
25	165	6196
26	166	5983
27	166	5784
28	167	5603
29	168	5433
30	169	5285
31	169	5135
32	170	4994
33	171	4861
34	171	4738
35	172	4620
36	173	4508
37	173	4403
38	174	4304
39	175	4208
40	176	4118
41	176	4032
42	177	3953
43	178	3874
44	179	3800
45	179	3729
46	180	3660
47	181	3594
48	181	3530
49	182	3469
50	183	3409
51	183	3352
52	184	3297
53	185	3243
54	185	3193
55	186	3146
56	187	3103
57	188	3060
58	189	3015
59	189	2971
60	190	2929
61	190	2888
62	191	2848
63	192	2811
64	192	2774
65	193	2738
66	194	2702
67	194	2668
68	195	2635
69	195	2603
70	196	2571
71	197	2541
72	197	2513
73	198	2486
74	199	2458
75	199	2431
76	200	2406
77	201	2380
78	202	2355
79	202	2331
80	203	2307
81	203	2283
82	204	2258
83	205	2238
84	205	2216
85	206	2195
86	207	2173
87	207	2152
88	208	2131
89	208	2112
90	209	2093
91	210	2075
92	210	2057
93	211	2039
94	212	2021
95	212	2004
96	213	1986
97	213	1969
98	214	1953
99	215	1936
100	215	1920
101	216	1906
102	217	1891
103	217	1876
104	218	1862
105	219	1848
106	219	1833
107	220	1819
108	220	1805
109	221	1792
110	222	1778
111	222	1766
112	223	1753
113	224	1742
114	224	1729
115	225	1717
116	225	1705
117	226	1693
118	227	1682
119	227	1670
120	228	1659
121	228	1647
122	229	1636
123	230	1626
124	230	1616
125	231	1606
126	232	1595
127	232	1586
128	233	1576
129	234	1567
130	234	1557
131	235	1548
132	236	1540
133	236	1531
134	237	1522
135	238	1513
136	238	1504
137	239	1495
138	239	1486
139	240	1477
140	241	1468
141	241	1459
142	242	1451
143	242	1444
144	243	1436
145	244	1429
146	244	1421
147	245	1414
148	246	1407
149	247	1401
150	248	1394
151	248	1388
152	249	1381
153	250	1374
154	250	1368
155	251	1361
156	252	1354
157	252	1347
158	253	1341
159	254	1335
160	254	1328
161	255	1322
162	256	1316
163	256	1309
164	257	1303
165	258	1297
166	258	1290
167	259	1284
168	259	1278
169	260	1271
170	261	1265
171	261	1260
172	262	1255
173	263	1249
174	263	1243
175	264	1237
176	265	1232
177	265	1226
178	266	1221
179	266	1215
180	267	1210
181	268	1205
182	268	1199
183	269	1194
184	269	1188
185	270	1183
186	271	1178
187	271	1173
188	272	1168
189	272	1163
190	273	1158
191	274	1153
192	274	1149
193	275	1144
194	276	1139
195	276	1134
196	277	1129
197	277	1125
198	278	1120
199	278	1115
200	279	1111
201	280	1106
202	280	1102
203	281	1098
204	282	1094
205	282	1089
206	283	1085
207	283	1081
208	284	1076
209	285	1072
210	285	1068
211	286	1064
212	287	1060
213	287	1056
214	288	1052
215	288	1048
216	289	1044
217	290	1041
218	290	1036
219	291	1033
220	292	1029
221	292	1025
222	293	1022
223	294	1018
224	294	1015
225	295	1011
226	295	1007
227	296	1004
228	297	1000
229	297	996
230	298	993
231	299	989
232	299	986
233	300	983
234	300	979
235	301	976
236	302	972
237	302	969
238	303	965
239	303	962
240	304	959
241	305	955
242	305	952
243	306	949
244	307	946
245	307	943
246	308	940
247	309	937
248	309	934
249	310	931
250	311	928
251	311	925
252	312	922
253	313	919
254	313	916
255	314	914
256	315	911
257	315	908
258	316	905
259	317	902
260	317	900
261	318	897
